Salary,NumberOfVacancies,Flexibility,Remoteness,Region,Vacancy6MonthsOrLess,Department,ClassificationLevel,Animal and Horticulture,Engineering,Cadetship and Graduate Programs,Grants and Contract Management,Allied Health and Health Care Services,Hospitality and Food Services,Community Services,Communication,Transport and Logistics,Payroll,Tourism and Culture,Information and Communication Technology (ICT),Prison Services,Child Protection,Architecture and Design,Legal,Professional,Information and Records Management,Human Resources and Work Health Safety,Environment,Police,Construction,Media and Public Relations,Housekeeping Services,Aged and Disability Care,Fire and Emergency Workers,Traineeship,Social Work,Education and Training,Maintenance and Services,Sport and Recreation,Medical,Vacation Employment,Primary Industry,Procurement,Accounting and Finance,Trades,Natural Resources and Conservation,Administration and Business Services,Executive and Senior Management,Program and Project Management,Probation and Parole Officer,Science,Agriculture,Nursing and Midwifery,VacancyType,NumberOfApplicants,Success
122287,1.0,0,1,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
122287,1.0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
98618,1.0,0,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
79987,1.0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,28,1
118256,1.0,0,1,1,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,8,1
90492,1.0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,14,0
127934,1.0,0,0,3,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0
135933,1.0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1
135933,1.0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
118256,1.0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,1
